Country,Division,District,Upazila,Union,Postcode
Bangladesh,Dhaka,Dhaka,Gulshan,Baridhara,1212
Bangladesh,Dhaka,Dhaka,Gulshan,Bashundhara R/A,1229
Bangladesh,Dhaka,Dhaka,Gulshan,Niketan,1212
Bangladesh,Dhaka,Dhaka,Gulshan,Mohakhali,1212
Bangladesh,Dhaka,Dhaka,Gulshan,Tejgaon,1215
Bangladesh,Dhaka,Dhaka,Gulshan,Tejgaon Industrial Area,1208
Bangladesh,Dhaka,Dhaka,Mirpur,Mirpur Section 1,1216
Bangladesh,Dhaka,Dhaka,Mirpur,Mirpur Section 2,1216
Bangladesh,Dhaka,Dhaka,Mirpur,Mirpur Section 10,1216
Bangladesh,Dhaka,Dhaka,Mirpur,Mirpur Section 11,1216
Bangladesh,Dhaka,Dhaka,Mirpur,Mirpur Section 12,1216
Bangladesh,Dhaka,Dhaka,Mirpur,Mirpur Section 13,1216
Bangladesh,Dhaka,Dhaka,Mirpur,Mirpur Section 14,1216
Bangladesh,Dhaka,Dhaka,Mirpur,Kafrul,1216
Bangladesh,Dhaka,Dhaka,Mirpur,Pallabi,1216
Bangladesh,Dhaka,Dhaka,Mirpur,Darussalam,1216
Bangladesh,Dhaka,Dhaka,Mirpur,Kazipara,1216
Bangladesh,Dhaka,Dhaka,Mirpur,Shewrapara,1216
Bangladesh,Dhaka,Dhaka,Mirpur,Agargaon,1216
Bangladesh,Dhaka,Dhaka,Mohammadpur,Mohammadpur,1207
Bangladesh,Dhaka,Dhaka,Mohammadpur,Shyamoli,1207
Bangladesh,Dhaka,Dhaka,Mohammadpur,Shankar,1207
Bangladesh,Dhaka,Dhaka,Mohammadpur,Shia Mosque,1207
Bangladesh,Dhaka,Dhaka,Mohammadpur,Basila,1207
Bangladesh,Dhaka,Dhaka,Mohammadpur,Hazaribagh,1207
Bangladesh,Dhaka,Dhaka,Mohammadpur,Adabar,1207
Bangladesh,Dhaka,Dhaka,Mohammadpur,Kallyanpur,1207
Bangladesh,Dhaka,Dhaka,Mohammadpur,Bosila,1207
Bangladesh,Dhaka,Dhaka,Mohammadpur,Kafrul,1207
Bangladesh,Dhaka,Dhaka,Motijheel,Motijheel,1222
Bangladesh,Dhaka,Dhaka,Motijheel,DIT Extension,1222
Bangladesh,Dhaka,Dhaka,Motijheel,Bangshal,1222
Bangladesh,Dhaka,Dhaka,Motijheel,Gendaria,1222
Bangladesh,Dhaka,Dhaka,Motijheel,Sutrapur,1222
Bangladesh,Dhaka,Dhaka,Motijheel,Kotwali,1222
Bangladesh,Dhaka,Dhaka,Motijheel,Sabujbag,1222
Bangladesh,Dhaka,Dhaka,Motijheel,Gandaria,1222
Bangladesh,Dhaka,Dhaka,Motijheel,Tikatuli,1222
Bangladesh,Dhaka,Dhaka,Ramna,Shahbag,1217
Bangladesh,Dhaka,Dhaka,Ramna,Nilkhet,1217
Bangladesh,Dhaka,Dhaka,Ramna,Palashi,1217
Bangladesh,Dhaka,Dhaka,Ramna,Katabon,1217
Bangladesh,Dhaka,Dhaka,Ramna,Dhaka University,1217
Bangladesh,Dhaka,Dhaka,Ramna,Segunbagicha,1217
Bangladesh,Dhaka,Dhaka,Ramna,Topkhana Road,1217
Bangladesh,Dhaka,Dhaka,Ramna,Banglamotor,1217
Bangladesh,Dhaka,Dhaka,Ramna,Moghbazar,1217
Bangladesh,Dhaka,Dhaka,Tejgaon,Tejgaon Industrial Area,1208
Bangladesh,Dhaka,Dhaka,Tejgaon,Tejgaon,1215
Bangladesh,Dhaka,Dhaka,Tejgaon,Farmgate,1215
Bangladesh,Dhaka,Dhaka,Tejgaon,Karwan Bazar,1215
Bangladesh,Dhaka,Dhaka,Tejgaon,Kawran Bazar,1215
Bangladesh,Dhaka,Dhaka,Tejgaon,Dhaka Cantonment,1206
Bangladesh,Dhaka,Dhaka,Tejgaon,Mohakhali DOHS,1212
Bangladesh,Dhaka,Dhaka,Tejgaon,Banani DOHS,1206
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 1,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 2,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 3,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 4,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 5,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 6,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 7,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 8,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 9,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 10,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 11,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 12,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 13,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 14,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 15,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 16,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 17,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttara Sector 18,1230
Bangladesh,Dhaka,Dhaka,Uttara,Uttarkhan,1230
Bangladesh,Dhaka,Dhaka,Demra,Dakshinkhan,1361
Bangladesh,Dhaka,Dhaka,Uttara,Kawla,1230
Bangladesh,Dhaka,Dhaka,Uttara,Dhaka Airport,1229
Bangladesh,Dhaka,Dhaka,Uttara,Kurmitola,1229
Bangladesh,Dhaka,Dhaka,Uttara,Airport Area,1229
Bangladesh,Dhaka,Gazipur,Gazipur Sadar,Gazipur Paurashava,1700
Bangladesh,Dhaka,Gazipur,Gazipur Sadar,Bariya,1702
Bangladesh,Dhaka,Gazipur,Gazipur Sadar,Konabari,1703
Bangladesh,Dhaka,Gazipur,Gazipur Sadar,Kashimpur,1704
Bangladesh,Dhaka,Gazipur,Gazipur Sadar,Maona,1701
Bangladesh,Dhaka,Gazipur,Gazipur Sadar,Pubail,1705
Bangladesh,Dhaka,Gazipur,Gazipur Sadar,Pirujali,1706
Bangladesh,Dhaka,Gazipur,Gazipur Sadar,Kachua,1707
Bangladesh,Dhaka,Gazipur,Gazipur Sadar,Gacha,1708
Bangladesh,Dhaka,Gazipur,Gazipur Sadar,Nagori,1709
Bangladesh,Dhaka,Gazipur,Kaliakair,Kaliakair Paurashava,1750
Bangladesh,Dhaka,Gazipur,Kaliakair,Baktarpur,1751
Bangladesh,Dhaka,Gazipur,Kaliakair,Jamalpur,1752
Bangladesh,Dhaka,Gazipur,Kaliakair,Atabaha,1753
Bangladesh,Dhaka,Gazipur,Kaliakair,Boali,1754
Bangladesh,Dhaka,Gazipur,Kaliakair,Chapair,1755
Bangladesh,Dhaka,Gazipur,Kaliakair,Dhalior,1756
Bangladesh,Dhaka,Gazipur,Kaliakair,Fulbari,1757
Bangladesh,Dhaka,Gazipur,Kaliakair,Gazirchat,1758
Bangladesh,Dhaka,Gazipur,Kaliakair,Maona,1759
Bangladesh,Dhaka,Gazipur,Kaliakair,Sreefaltali,1760
Bangladesh,Dhaka,Gazipur,Kaliakair,Sutrapur,1761
Bangladesh,Dhaka,Gazipur,Kapasia,Kapasia Paurashava,1730
Bangladesh,Dhaka,Gazipur,Kapasia,Targaon,1731
Bangladesh,Dhaka,Gazipur,Kapasia,Sonmania,1732
Bangladesh,Dhaka,Gazipur,Kapasia,Durgapur,1733
Bangladesh,Dhaka,Gazipur,Kapasia,Karihata,1734
Bangladesh,Dhaka,Gazipur,Kapasia,Chandpur,1735
Bangladesh,Dhaka,Gazipur,Kapasia,Tokh,1736
Bangladesh,Dhaka,Gazipur,Kapasia,Chaurangi,1737
Bangladesh,Dhaka,Gazipur,Kapasia,Barishaba,1738
Bangladesh,Dhaka,Gazipur,Kapasia,Kachikata,1739
Bangladesh,Dhaka,Gazipur,Kapasia,Sinhasree,1740
Bangladesh,Dhaka,Gazipur,Sreepur,Sreepur Paurashava,1740
Bangladesh,Dhaka,Gazipur,Sreepur,Barmi,1741
Bangladesh,Dhaka,Gazipur,Sreepur,Gazipur,1742
Bangladesh,Dhaka,Gazipur,Sreepur,Mauna,1743
Bangladesh,Dhaka,Gazipur,Sreepur,Kashimpur,1744
Bangladesh,Dhaka,Gazipur,Sreepur,Konabari,1745
Bangladesh,Dhaka,Gazipur,Sreepur,Rajabari,1746
Bangladesh,Dhaka,Gazipur,Sreepur,Putile,1747
Bangladesh,Dhaka,Gazipur,Sreepur,Barishab,1748
Bangladesh,Dhaka,Gazipur,Sreepur,Ashrafpur,1749
Bangladesh,Dhaka,Gazipur,Kaliganj,Kaliganj Paurashava,1720
Bangladesh,Dhaka,Gazipur,Kaliganj,Baktarpur,1721
Bangladesh,Dhaka,Gazipur,Kaliganj,Jamalpur,1722
Bangladesh,Dhaka,Gazipur,Kaliganj,Nagori,1723
Bangladesh,Dhaka,Gazipur,Kaliganj,Mahadevpur,1724
Bangladesh,Dhaka,Gazipur,Kaliganj,Sutarpara,1725
Bangladesh,Dhaka,Gazipur,Kaliganj,Gobindapur,1726
Bangladesh,Dhaka,Gazipur,Kaliganj,Maheshpur,1727
Bangladesh,Dhaka,Gazipur,Kaliganj,Palash,1728
Bangladesh,Dhaka,Gazipur,Kaliganj,Nagari,1729
